Date,Team,Acquired,Relinquished,Notes
2008-04-27,Hornets, Melvin Ely,,activated from IL
2008-04-29,Jazz,, Morris Almond,placed on IL (out for season)
2008-04-29,Jazz, Jason Hart,,activated from IL
2008-04-29,Mavericks,, Antoine Wright,placed on IL
2008-04-29,Mavericks, Tyronn Lue,,activated from IL
2008-04-29,Suns,, Grant Hill,placed on IL with right groin injury
2008-04-29,Suns, Alando Tucker,,activated from IL
2008-05-01,76ers,, Shavlik Randolph,placed on IL
2008-05-01,76ers, Louis Amundson / Lou Amundson,,activated from IL
2008-05-02,Cavaliers,, Billy Thomas,placed on IL
2008-05-02,Cavaliers, Aleksandar Pavlovic / Sasha Pavlovic,,activated from IL
2008-05-03,Pistons,, Lindsey Hunter,placed on IL
2008-05-03,Pistons, Walter Herrmann,,activated from IL
2008-05-07,Magic,, J.J. Redick,placed on IL
2008-05-07,Magic, James Augustine,,activated from IL
2008-05-10,Pistons,, Amir Johnson,placed on IL
2008-05-10,Pistons,, Chauncey Billups,placed on IL with strained right hamstring
2008-05-10,Pistons, Juan Dixon,,activated from IL
2008-05-10,Pistons, Lindsey Hunter,,activated from IL
2008-05-15,Spurs,, Damon Stoudamire,placed on IL
2008-05-15,Spurs, Matt Bonner,,activated from IL
2008-05-16,Cavaliers,, Daniel Gibson,placed on IL with seperated left shoulder
2008-05-16,Cavaliers, Billy Thomas,,activated from IL
2008-05-20,Pistons,, Walter Herrmann,placed on IL
2008-05-20,Pistons, Chauncey Billups,,activated from IL
2008-05-23,Lakers,, Ira Newble,placed on IL
2008-05-23,Lakers, Trevor Ariza,,activated from IL
2008-05-23,Spurs,, Matt Bonner,placed on IL (out for season)
2008-05-23,Spurs, Damon Stoudamire,,activated from IL
2008-05-28,Celtics,, Tony Allen,placed on IL with sore Achilles tendon
2008-05-28,Celtics, Brian Scalabrine,,activated from IL
2008-06-05,Celtics,, Brian Scalabrine,placed on IL
2008-06-05,Celtics, Tony Allen,,activated from IL
2008-06-15,Celtics,, Kendrick Perkins,placed on IL with strained left shoulder
2008-06-15,Celtics, Brian Scalabrine,,activated from IL
2008-06-17,Celtics,, Brian Scalabrine,placed on IL
2008-06-17,Celtics, Kendrick Perkins,,activated from IL
2008-10-28,Blazers,, Martell Webster,placed on IL with left foot injury
2008-10-28,Blazers,, Raef LaFrentz,placed on IL with right shoulder injury
2008-10-28,Blazers,, Shavlik Randolph,placed on IL
2008-10-28,Bucks,, Austin Croshere,placed on IL
2008-10-28,Bucks,, Damon Jones,placed on IL
2008-10-28,Bucks,, Ramon Sessions,placed on IL
2008-10-28,Bulls,, Larry Hughes,placed on IL with dislocated right shoulder
2008-10-28,Bulls,, Michael Ruffin,placed on IL with ankle injury
2008-10-28,Cavaliers,, Darnell Jackson,placed on IL with fractured left wrist
2008-10-28,Cavaliers,, Eric Snow,placed on IL with left knee injury
2008-10-28,Cavaliers,, Jawad Williams,placed on IL
2008-10-28,Celtics,, Bill Walker / Henry Walker,placed on IL
2008-10-28,Celtics,, J.R. Giddens,placed on IL
2008-10-28,Celtics,, Sam Cassell,placed on IL
2008-10-28,Heat,, Jamaal Magloire,placed on IL with fractured left hand
2008-10-28,Lakers,, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL
2008-10-28,Lakers,, Sun Yue,placed on IL
2008-10-29,76ers,, Jason Smith,placed on IL recovering from surgery on left knee to repair torn ACL
2008-10-29,76ers,, Marreese Speights,placed on IL
2008-10-29,Clippers,, DeAndre Jordan,placed on IL
2008-10-29,Clippers,, Marcus Camby,placed on IL with bruised right heel
2008-10-29,Grizzlies,, Antoine Walker,placed on IL
2008-10-29,Grizzlies,, Marko Jaric,placed on IL with fractured nose
2008-10-29,Hawks,, Craig Claxton / Speedy Claxton,placed on IL with hamstring injury
2008-10-29,Hawks,, Othello Hunter,placed on IL
2008-10-29,Hawks,, Thomas Gardner,placed on IL
2008-10-29,Hornets,, Julian Wright,placed on IL with sprained right ankle
2008-10-29,Hornets,, Sean Marks,placed on IL with strained calf
2008-10-29,Jazz,, Deron Williams,placed on IL with sprained left ankle
2008-10-29,Jazz,, Kyrylo Fesenko,placed on IL
2008-10-29,Jazz,, Matt Harpring,placed on IL recovering from surgery on right ankle to remove 2 bone spurs
2008-10-29,Kings,, Donte Greene,placed on IL
2008-10-29,Kings,, Francisco Garcia,placed on IL with strained right calf
2008-10-29,Magic,, Adonal Foyle,placed on IL
2008-10-29,Magic,, Jeremy Richardson,placed on IL
2008-10-29,Magic,, Mike Wilks,placed on IL with torn ACL in right knee
2008-10-29,Nets,, Eduardo Najera,placed on IL with sore left wrist
2008-10-29,Nets,, Stromile Swift,placed on IL with sore back
2008-10-29,Nets,, Trenton Hassell,placed on IL
2008-10-29,Nuggets,, Chucky Atkins,placed on IL with surgery on right knee
2008-10-29,Nuggets,, Sonny Weems,placed on IL with strained left groin
2008-10-29,Nuggets,, Steven Hunter,placed on IL with right knee inflammation
2008-10-29,Pacers,, Mike Dunleavy Jr.,placed on IL with sore right knee
2008-10-29,Pacers,, Travis Diener,placed on IL with sore left foot
2008-10-29,Pistons,, Alex Acker,placed on IL
2008-10-29,Pistons,, Cheikh Samb,placed on IL
2008-10-29,Pistons,, Walter Sharpe,placed on IL with bruised left knee
2008-10-29,Raptors,, Nathan Jawai,placed on IL with heart problem
2008-10-29,Rockets,, Shane Battier,placed on IL with left foot imflammation
2008-10-29,Rockets,, Steve Francis,placed on IL with surgery on knee
2008-10-29,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL recovering from arthroscopic surgery on left ankle
2008-10-29,Spurs,, Ian Mahinmi,placed on IL with sore right ankle
2008-10-29,Suns,, Alando Tucker,placed on IL with hamstring injury
2008-10-29,Thunder,, D.J. White,placed on IL recovering from surgery on jaw to remove benign growth
2008-10-29,Thunder,, John Lucas III,placed on IL
2008-10-29,Thunder,, Mouhamed Sene / Saer Sene,placed on IL recovering from microfracture surgery on right knee
2008-10-29,Timberwolves,, Brian Cardinal,placed on IL
2008-10-29,Timberwolves,, Calvin Booth,placed on IL
2008-10-29,Timberwolves,, Jason Collins,placed on IL recovering from surgery on right elbow to repair ruptured triceps tendon
2008-10-29,Warriors,, Anthony Morrow,placed on IL
2008-10-29,Warriors,, Monta Ellis,placed on IL recovering from surgery on left ankle
2008-10-29,Warriors,, Richard Hendrix,placed on IL
2008-10-29,Wizards,, Brendan Haywood,placed on IL recovering from surgery on right wrist to repair torn ligament
2008-10-29,Wizards,, Gilbert Arenas,placed on IL recovering from arthroscopic surgery on left knee
2008-10-29,Wizards,, Oleksiy Pecherov,placed on IL
2008-10-30,Bobcats,, Andre Brown,placed on IL
2008-10-30,Bobcats,, Ryan Hollins,placed on IL
2008-10-30,Bobcats,, Shannon Brown,placed on IL
2008-10-30,Hornets,, Tyson Chandler,placed on IL with sprained right ankle
2008-10-30,Hornets, Julian Wright,,activated from IL
2008-10-30,Mavericks,, Devean George,placed on IL with bone chip in left hand
2008-10-30,Mavericks,, Shawne Williams,placed on IL
2008-10-31,76ers,, Theo Ratliff,placed on IL
2008-10-31,76ers, Marreese Speights,,activated from IL
2008-10-31,Blazers,, Greg Oden,placed on IL with mid-lateral foot sprain
2008-10-31,Blazers, Shavlik Randolph,,activated from IL
2008-10-31,Grizzlies,, Javaris Crittenton,placed on IL
2008-10-31,Grizzlies, Marko Jaric,,activated from IL
2008-10-31,Heat,, Chris Quinn,placed on IL
2008-10-31,Heat, Joel Anthony,,activated from IL
2008-10-31,Kings,, Kenny Thomas,placed on IL
2008-10-31,Kings, Donte Greene,,activated from IL
2008-10-31,Knicks, Anthony Roberson,,activated from IL
2008-11-01,76ers,, Donyell Marshall,placed on IL
2008-11-01,76ers, Theo Ratliff,,activated from IL
2008-11-01,Bobcats,, Linton Johnson III,placed on IL
2008-11-01,Bobcats,, Sean May,placed on IL with sore back
2008-11-01,Bobcats, Andre Brown,,activated from IL
2008-11-01,Bobcats, Shannon Brown,,activated from IL
2008-11-01,Bucks,, Luke Ridnour,placed on IL with sore back
2008-11-01,Bucks, Ramon Sessions,,activated from IL
2008-11-01,Clippers,, Baron Davis,placed on IL with sore left hip
2008-11-01,Clippers, DeAndre Jordan,,activated from IL
2008-11-01,Heat,, Shaun Livingston,placed on IL
2008-11-01,Heat, Chris Quinn,,activated from IL
2008-11-01,Jazz,, Jarron Collins,placed on IL with right elbow tendinitis
2008-11-01,Jazz, Kyrylo Fesenko,,activated from IL
2008-11-01,Kings,, Donte Greene,placed on IL
2008-11-01,Kings, Kenny Thomas,,activated from IL
2008-11-01,Nets,, Maurice Ager,placed on IL
2008-11-01,Nets, Eduardo Najera,,activated from IL
2008-11-01,Timberwolves,, Mark Madsen,placed on IL
2008-11-01,Timberwolves, Brian Cardinal,,activated from IL
2008-11-02,Knicks,, Eddy Curry,placed on IL with sore right knee
2008-11-02,Knicks, Jerome James,,activated from IL
2008-11-03,76ers,, Theo Ratliff,placed on IL
2008-11-03,76ers, Donyell Marshall,,activated from IL
2008-11-03,Clippers,, DeAndre Jordan,placed on IL
2008-11-03,Clippers,, Steve Novak,placed on IL
2008-11-03,Clippers, Baron Davis,,activated from IL
2008-11-03,Clippers, Marcus Camby,,activated from IL
2008-11-03,Pistons, Alex Acker,,activated from IL
2008-11-03,Pistons, Walter Sharpe,,activated from IL
2008-11-03,Pistons,, Allen Iverson,placed on IL
2008-11-04,Celtics,, Patrick O'Bryant,placed on IL
2008-11-04,Celtics, Bill Walker / Henry Walker,,activated from IL
2008-11-05,Bobcats,, Andre Brown,placed on IL
2008-11-05,Bobcats, Linton Johnson III,,activated from IL
2008-11-05,Bucks,, Michael Redd,placed on IL with sprained right ankle
2008-11-05,Bucks, Luke Ridnour,,activated from IL
2008-11-05,Grizzlies,, Hamed Haddadi,placed on IL
2008-11-05,Grizzlies, Javaris Crittenton,,activated from IL
2008-11-05,Heat,, Dorell Wright,placed on IL with Achilles tendon injury
2008-11-05,Heat, Shaun Livingston,,placed on IL with knee injury
2008-11-05,Hornets,, Melvin Ely,placed on IL
2008-11-05,Hornets, Tyson Chandler,,activated from IL
2008-11-05,Kings,, Kenny Thomas,placed on IL
2008-11-05,Kings, Donte Greene,,activated from IL
2008-11-05,Nuggets,, Antonio McDyess,placed on IL
2008-11-05,Nuggets,, Chauncey Billups,placed on IL
2008-11-05,Nuggets, Chucky Atkins,,activated from IL
2008-11-05,Nuggets, Sonny Weems,,activated from IL
2008-11-05,Pacers,, Radoslav Nesterovic / Rasho Nesterovic,placed on IL with sprained right ankle
2008-11-05,Pacers, Travis Diener,,activated from IL
2008-11-05,Thunder,, Steven Hill,placed on IL
2008-11-05,Timberwolves,, Brian Cardinal,placed on IL
2008-11-05,Timberwolves, Jason Collins,,activated from IL
2008-11-05,Warriors,, Corey Maggette,placed on IL with hamstring injury
2008-11-05,Warriors,, Marcus Williams (D.),placed on IL
2008-11-05,Warriors, Anthony Morrow,,activated from IL
2008-11-05,Wizards,, Etan Thomas,placed on IL with sprained ankle
2008-11-05,Wizards, Oleksiy Pecherov,,activated from IL
2008-11-07,Bobcats,, Linton Johnson III,placed on IL
2008-11-07,Bobcats, Andre Brown,,activated from IL
2008-11-07,Clippers,, Ricky Davis,placed on IL
2008-11-07,Clippers, Steve Novak,,activated from IL
2008-11-07,Heat,, Marcus Banks,placed on IL
2008-11-07,Kings,, Quincy Douby,placed on IL with right ankle injury
2008-11-07,Kings, Kenny Thomas,,activated from IL
2008-11-07,Nets,, Chris Douglas-Roberts,placed on IL with sprained MCL in right knee
2008-11-07,Nets, Maurice Ager,,activated from IL
2008-11-07,Nuggets,, Sonny Weems,placed on IL
2008-11-07,Nuggets, Chauncey Billups,,activated from IL
2008-11-07,Pistons,, Walter Sharpe,placed on IL
2008-11-07,Pistons, Allen Iverson,,activated from IL
2008-11-07,Spurs,, Jacque Vaughn,placed on IL
2008-11-07,Suns,, Shaquille O'Neal,placed on IL for rest
2008-11-07,Timberwolves,, Jason Collins,placed on IL
2008-11-07,Timberwolves, Brian Cardinal,,activated from IL
2008-11-07,Warriors,, Al Harrington,placed on IL with sore back
2008-11-07,Warriors, Marcus Williams (D.),,activated from IL
2008-11-07,Wizards,, Oleksiy Pecherov,placed on IL
2008-11-07,Wizards, Etan Thomas,,activated from IL
2008-11-07,Heat, Dorell Wright,,activated from IL
2008-11-08,Nets,, Devin Harris,placed on IL with sprained left ankle
2008-11-08,Nets, Trenton Hassell,,activated from IL
2008-11-08,Suns, Shaquille O'Neal,,activated from IL
2008-11-08,Timberwolves,, Brian Cardinal,placed on IL
2008-11-08,Timberwolves, Mark Madsen,,activated from IL
2008-11-08,Wizards,, Antonio Daniels,placed on IL with sore right knee
2008-11-08,Wizards, Oleksiy Pecherov,,activated from IL
2008-11-09,Clippers,, Tim Thomas,placed on IL with sprained left ankle
2008-11-09,Clippers, Ricky Davis,,activated from IL
2008-11-09,Hawks,, Josh Smith,placed on IL with high left ankle sprain
2008-11-09,Hawks, Othello Hunter,,activated from IL
2008-11-09,Mavericks,, Josh Howard,placed on IL with sprained left wrist
2008-11-09,Mavericks, Shawne Williams,,activated from IL
2008-11-10,Thunder,, Chris Wilcox,placed on IL with sprained right knee
2008-11-10,Thunder, Mouhamed Sene / Saer Sene,,activated from IL
2008-11-11,Bobcats,, Andre Brown,placed on IL
2008-11-11,Bobcats, Sean May,,activated from IL
2008-11-11,Bucks,, Tyronn Lue,placed on IL
2008-11-11,Bucks, Austin Croshere,,activated from IL
2008-11-11,Bulls,, Kirk Hinrich,placed on IL recovering from surgery on right thumb to repair torn ligaments
2008-11-11,Jazz, Deron Williams,,activated from IL
2008-11-11,Kings,, Kevin Martin,placed on IL with sprained left ankle
2008-11-11,Kings, Quincy Douby,,activated from IL
2008-11-11,Knicks,, Danilo Gallinari,placed on IL with sore back
2008-11-11,Knicks, Eddy Curry,,activated from IL
2008-11-11,Nuggets,, Chris Andersen,placed on IL with broken ribs
2008-11-11,Pistons,, Rodney Stuckey,placed on IL with dizziness
2008-11-11,Pistons, Walter Sharpe,,activated from IL
2008-11-11,Spurs,, (William) Tony Parker,placed on IL with sprained left ankle
2008-11-11,Spurs, Jacque Vaughn,,activated from IL
2008-11-11,Nuggets, Sonny Weems,,activated from IL
2008-11-12,Blazers,, Shavlik Randolph,placed on IL
2008-11-12,Blazers, Greg Oden,,activated from IL
2008-11-12,Bucks,, Austin Croshere,placed on IL
2008-11-12,Bucks, Tyronn Lue,,activated from IL
2008-11-12,Clippers,, Steve Novak,placed on IL
2008-11-12,Clippers, Tim Thomas,,activated from IL
2008-11-12,Heat,, Dorell Wright,placed on IL with left knee injury
2008-11-12,Heat, Marcus Banks,,activated from IL
2008-11-12,Hornets,, Ryan Bowen,placed on IL
2008-11-12,Hornets, Melvin Ely,,activated from IL
2008-11-12,Jazz,, Morris Almond,placed on IL
2008-11-12,Jazz, Matt Harpring,,activated from IL
2008-11-12,Pacers,, Troy Murphy,placed on IL with flu
2008-11-12,Pacers, Radoslav Nesterovic / Rasho Nesterovic,,activated from IL
2008-11-12,Thunder,, Kevin Durant,placed on IL with sore left ankle
2008-11-12,Thunder, Steven Hill,,activated from IL
2008-11-12,Wizards,, Dominic McGuire,placed on IL
2008-11-12,Wizards, Antonio Daniels,,activated from IL
2008-11-13,Bulls,, Demetris Nichols,placed on IL
2008-11-13,Bulls, Larry Hughes,,placed on IL
2008-11-13,Mavericks,, Shawne Williams,placed on IL
2008-11-13,Mavericks, Josh Howard,,activated from IL
2008-11-13,Warriors,, Rob Kurz,placed on IL
2008-11-13,Warriors, Corey Maggette,,activated from IL
2008-11-14,Bobcats,, Jason Richardson,placed on IL recovering from arthroscopic surgery on right knee
2008-11-14,Bobcats, Ryan Hollins,,activated from IL
2008-11-14,Bucks,, Charlie Villanueva,placed on IL with strained left hamstring
2008-11-14,Bucks, Austin Croshere,,activated from IL
2008-11-14,Celtics,, Bill Walker / Henry Walker,placed on IL
2008-11-14,Celtics, Patrick O'Bryant,,activated from IL
2008-11-14,Jazz,, Andrei Kirilenko,placed on IL with strained right index finger
2008-11-14,Jazz,, Deron Williams,placed on IL with sore left ankle
2008-11-14,Jazz, Morris Almond,,activated from IL
2008-11-14,Nets,, Josh Boone,placed on IL with bruised right ankle
2008-11-14,Nets, Devin Harris,,activated from IL
2008-11-14,Pacers,, Josh McRoberts,placed on IL
2008-11-14,Pacers, Troy Murphy,,activated from IL
2008-11-14,Pistons,, Walter Sharpe,placed on IL
2008-11-14,Pistons, Rodney Stuckey,,activated from IL
2008-11-14,Thunder,, Steven Hill,placed on IL
2008-11-14,Thunder, Kevin Durant,,activated from IL
2008-11-15,76ers,, Theo Ratliff,placed on IL (P)
2008-11-15,76ers, Donyell Marshall,,activated from IL (P)
2008-11-15,Clippers,, Paul Davis,placed on IL
2008-11-15,Clippers, DeAndre Jordan,,activated from IL
2008-11-15,Hawks,, Zaur Pachulia / Zaza Pachulia,placed on IL with sore left shoulder
2008-11-15,Hawks, Thomas Gardner,,activated from IL
2008-11-15,Jazz, Jarron Collins,,activated from IL
2008-11-15,Pacers,, Travis Diener,placed on IL
2008-11-15,Pacers, Josh McRoberts,,activated from IL
2008-11-15,Timberwolves,, Mark Madsen,placed on IL
2008-11-15,Timberwolves, Jason Collins,,activated from IL
2008-11-16,Mavericks,, Jerry Stackhouse,placed on IL with heel injury
2008-11-16,Mavericks, Devean George,,activated from IL
2008-11-17,Clippers,, DeAndre Jordan,placed on IL
2008-11-17,Clippers, Steve Novak,,activated from IL
2008-11-17,Jazz,, Morris Almond,placed on IL
2008-11-17,Jazz, Andrei Kirilenko,,activated from IL
2008-11-17,Thunder,, Desmond Mason,placed on IL with sprained right elbow
2008-11-17,Thunder, Chris Wilcox,,activated from IL
2008-11-18,Hawks,, Thomas Garner,placed on IL
2008-11-18,Hawks, Zaur Pachulia / Zaza Pachulia,,activated from IL
2008-11-18,Magic,, Mickael Pietrus,placed on IL with bruised ribs
2008-11-18,Magic, Adonal Foyle,,activated from IL
2008-11-18,Mavericks,, Devean George,placed on IL with hand injury
2008-11-18,Mavericks, Shawne Williams,,activated from IL
2008-11-18,Pacers,, Maceo Baston,placed on IL
2008-11-18,Pacers, Travis Diener,,activated from IL
2008-11-18,Warriors,, DeMarcus Nelson,placed on IL
2008-11-18,Warriors, Rob Kurz,,activated from IL
2008-11-19,Cavaliers, Darnell Jackson,,activated from IL
2008-11-19,Hawks,, Al Horford,placed on IL with sprained right ankle
2008-11-19,Hawks, Thomas Gardner,,activated from IL
2008-11-19,Jazz,, Brevin Knight,placed on IL with thigh injury
2008-11-19,Jazz,, Jarron Collins,placed on IL with elbow injury
2008-11-19,Jazz, Morris Almond,,activated from IL
2008-11-19,Mavericks,, Josh Howard,placed on IL with sore left ankle
2008-11-19,Mavericks, Devean George,,activated from IL
2008-11-19,Timberwolves,, Kevin Ollie,placed on IL
2008-11-19,Timberwolves, Brian Cardinal,,activated from IL
2008-11-21,76ers,, Donyell Marshall,placed on IL
2008-11-21,76ers, Theo Ratliff,,activated from IL
2008-11-21,Bucks,, Dan Gadzuric,placed on IL
2008-11-21,Bucks, Charlie Villanueva,,activated from IL
2008-11-21,Hawks,, Thomas Gardner,placed on IL
2008-11-21,Hawks, Al Horford,,activated from IL
2008-11-21,Hornets,, Morris Peterson,placed on IL
2008-11-21,Hornets, Ryan Bowen,,activated from IL
2008-11-21,Jazz,, Carlos Boozer,placed on IL with strained left quadricep
2008-11-21,Jazz, Brevin Knight,,activated from IL
2008-11-21,Knicks,, Eddy Curry,placed on IL
2008-11-21,Magic,, Adonal Foyle,placed on IL
2008-11-21,Magic, Mickael Pietrus,,activated from IL
2008-11-21,Timberwolves,, Rashad McCants,placed on IL with back spasms
2008-11-21,Timberwolves, Mark Madsen,,activated from IL
2008-11-21,Wizards,, Oleksiy Pecherov,placed on IL
2008-11-21,Wizards, Dominic McGuire,,activated from IL
2008-11-22,Cavaliers,, Darnell Jackson,placed on IL
2008-11-22,Clippers,, Mardy Collins,placed on IL
2008-11-22,Clippers,, Zach Randolph,placed on IL
2008-11-22,Clippers, DeAndre Jordan,,activated from IL
2008-11-22,Clippers, Paul Davis,,activated from IL
2008-11-22,Knicks,, Stephon Marbury,placed on IL
2008-11-22,Magic,, Hidayet Turkoglu / Hedo Turkoglu,placed on IL with flu
2008-11-22,Magic,, Marcin Gortat,placed on IL
2008-11-22,Magic, Adonal Foyle,,activated from IL
2008-11-22,Magic, Jeremy Richardson,,activated from IL
2008-11-22,Knicks, Danilo Gallinari,,activated from IL
2008-11-23,Warriors,, Jamal Crawford,placed on IL
2008-11-24,Bucks,, Luke Ridnour,placed on IL with bruised knee
2008-11-24,Bucks, Dan Gadzuric,,activated from IL
2008-11-24,Hornets,, Ryan Bowen,placed on IL
2008-11-24,Hornets, Sean Marks,,activated from IL
2008-11-24,Magic,, Jeremy Richardson,placed on IL
2008-11-24,Magic,, Keith Bogans,placed on IL with broken thumb
2008-11-24,Magic, Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
2008-11-24,Magic, Marcin Gortat,,activated from IL
2008-11-24,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
2008-11-24,Bobcats,, Dwayne Jones,placed on IL
2008-11-25,Cavaliers,, Lorenzen Wright,placed on IL
2008-11-25,Cavaliers, Darnell Jackson,,activated from IL
2008-11-25,Knicks, Al Harrington,,activated from IL
2008-11-25,Nets,, Eduardo Najera,placed on IL with sore back
2008-11-25,Nets, Stromile Swift,,activated from IL
2008-11-25,Warriors,, Marcus Williams (D.),placed on IL
2008-11-25,Warriors, Jamal Crawford,,activated from IL
2008-11-25,Wizards,, Antonio Daniels,placed on IL with sore right knee
2008-11-25,Wizards, Oleksiy Pecherov,,activated from IL
2008-11-26,Bucks,, Andrew Bogut,placed on IL with bone bruise in left knee
2008-11-26,Bucks, Luke Ridnour,,activated from IL
2008-11-26,Clippers,, Brian Skinner,placed on IL with virus
2008-11-26,Clippers,, Ricky Davis,placed on IL with left knee tendinitis
2008-11-26,Clippers, Mardy Collins,,activated from IL
2008-11-26,Clippers, Zach Randolph,,activated from IL
2008-11-26,Heat, Shaun Livingston,,activated from IL
2008-11-26,Jazz,, Brevin Knight,placed on IL with thigh injury
2008-11-26,Jazz, Deron Williams,,activated from IL
2008-11-26,Magic,, Jameer Nelson,placed on IL with strained right hip flexor
2008-11-26,Magic, Jeremy Richardson,,activated from IL
2008-11-26,Nuggets,, Sonny Weems,placed on IL
2008-11-26,Nuggets, Chris Andersen,,activated from IL
2008-11-26,Pistons,, Alex Acker,placed on IL
2008-11-26,Pistons, Walter Sharpe,,activated from IL
2008-11-26,Rockets,, Tracy McGrady,placed on IL witwh sore left knee
2008-11-26,Rockets, Shane Battier,,activated from IL
2008-11-26,Timberwolves,, Brian Cardinal,placed on IL
2008-11-26,Timberwolves,, Mark Madsen,placed on IL
2008-11-26,Timberwolves, Calvin Booth,,activated from IL
2008-11-26,Timberwolves, Rashad McCants,,activated from IL
2008-11-27,Hornets, Ryan Bowen,,activated from IL
2008-11-27,Wizards,, Oleksiy Pecherov,placed on IL
2008-11-27,Wizards, Antonio Daniels,,activated from IL
2008-11-28,Bobcats,, Jared Dudley,placed on IL
2008-11-28,Bobcats, Jason Richardson,,activated from IL
2008-11-28,Heat,, Shaun Livingston,placed on IL
2008-11-28,Heat, Jamaal Magloire,,activated from IL
2008-11-28,Hornets,, Ryan Bowen,placed on IL
2008-11-28,Kings,, Kenny Thomas,placed on IL with calf injury
2008-11-28,Kings, Francisco Garcia,,activated from IL
2008-11-28,Lakers,, Chris Mihm,placed on IL with sprained left ankle
2008-11-28,Lakers, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,activated from IL
2008-11-28,Pacers,, Travis Diener,placed on IL with sore left foot
2008-11-28,Pacers, Maceo Baston,,activated from IL
2008-11-28,Spurs,, Jacque Vaughn,placed on IL
2008-11-28,Spurs, (William) Tony Parker,,activated from IL
2008-11-28,Thunder,, Robert Swift,placed on IL with back injury
2008-11-28,Thunder, Desmond Mason,,activated from IL
2008-11-29,Bobcats,, Ryan Hollins,placed on IL
2008-11-29,Bobcats,, Shannon Brown,placed on IL
2008-11-29,Bobcats, Dwayne Jones,,activated from IL
2008-11-29,Bobcats, Jared Dudley,,activated from IL
2008-11-29,Bucks,, Austin Croshere,placed on IL
2008-11-29,Bucks, Michael Redd,,activated from IL
2008-11-29,Clippers,, Chris Kaman,placed on IL with strained arch in left foot
2008-11-29,Clippers, Brian Skinner,,activated from IL
2008-11-29,Grizzlies,, Quinton Ross,placed on IL
2008-11-29,Grizzlies, Antoine Walker,,activated from IL
2008-11-29,Magic,, Mickael Pietrus,placed on IL with torn ligament in right thumb
2008-11-29,Timberwolves,, Calvin Booth,placed on IL
2008-11-29,Timberwolves, Brian Cardinal,,activated from IL
2008-11-29,Magic, Jameer Nelson,,activated from IL
2008-11-30,Nets,, Keyon Dooling,placed on IL
2008-11-30,Nets, Chris Douglas-Roberts,,activated from IL
2008-11-30,Pistons,, Walter Sharpe,placed on IL
2008-11-30,Pistons, Alex Acker,,activated from IL
2008-12-01,Timberwolves,, Corey Brewer,placed on IL with torn ACL in right knee (out for season)
2008-12-01,Timberwolves, Kevin Ollie,,activated from IL
2008-12-01,Warriors,, Kelenna Azubuike,placed on IL with sprained left foot
2008-12-01,Warriors, Marcus Williams (D.),,activated from IL
2008-12-02,Jazz,, Matt Harpring,placed on IL with strained lower back
2008-12-02,Jazz, Brevin Knight,,activated from IL
2008-12-02,Kings,, John Salmons,placed on IL with strained groin
2008-12-02,Kings, Kevin Martin,,activated from IL
2008-12-02,Lakers,, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL
2008-12-02,Lakers, Chris Mihm,,activated from IL
2008-12-02,Nets,, Maurice Ager,placed on IL
2008-12-02,Nets, Keyon Dooling,,activated from IL
2008-12-02,Pacers,, Jeff Foster,placed on IL with sore back
2008-12-02,Pacers, Travis Diener,,activated from IL
2008-12-02,Spurs,, Anthony Tolliver,placed on IL
2008-12-02,Spurs, Jacque Vaughn,,activated from IL
2008-12-03,Bobcats,, Nazr Mohammed,placed on IL
2008-12-03,Bobcats, Shannon Brown,,activated from IL
2008-12-03,Bucks,, Charlie Bell,placed on IL with sore right ankle
2008-12-03,Bucks, Andrew Bogut,,activated from IL
2008-12-03,Celtics,, Tony Allen,placed on IL with sprained right ankle
2008-12-03,Celtics, Sam Cassell,,activated from IL
2008-12-03,Hawks,, Othello Hunter,placed on IL
2008-12-03,Hawks, Josh Smith,,activated from IL
2008-12-03,Heat,, Mark Blount,placed on IL
2008-12-03,Heat, Shaun Livingston,,activated from IL
2008-12-03,Hornets,, Melvin Ely,placed on IL
2008-12-03,Hornets, Morris Peterson,,activated from IL
2008-12-03,Magic,, Jameer Nelson,placed on IL with strained right hip flexor
2008-12-03,Magic, Keith Bogans,,activated from IL
2008-12-03,Pacers,, Maceo Baston,placed on IL
2008-12-03,Pacers, Jeff Foster,,activated from IL
2008-12-03,Rockets,, Brent Barry,placed on IL with strained right calf
2008-12-03,Rockets, Steve Francis,,activated from IL
2008-12-03,Timberwolves,, Rodney Carney,placed on IL
2008-12-03,Timberwolves, Calvin Booth,,activated from IL
2008-12-05,76ers,, Elton Brand,placed on IL with strained right hamstring
2008-12-05,76ers, Donyell Marshall,,activated from IL
2008-12-05,Bobcats,, Shannon Brown,placed on IL
2008-12-05,Bobcats, Nazr Mohammed,,activated from IL
2008-12-05,Grizzlies,, Antoine Walker,placed on IL
2008-12-05,Grizzlies, Quinton Ross,,activated from IL
2008-12-05,Hawks,, Acie Law,placed on IL with flu
2008-12-05,Hawks, Thomas Gardner,,activated from IL
2008-12-05,Jazz,, Kyrylo Fesenko,placed on IL with strained lower back
